ENTREGUE                                          ;350823;Via Varejo                                        ;Casas Bahia                                       ;1;0;385.9;385.9;Micro System Boombox Philco PBO140BT USB Bluetooth Preto - Bivolt;Correios;28/11/2019 01:11:00;16/12/2019 11:05:18
DESPACHADO                                        ;349834;Via Varejo                                        ;Casas Bahia                                       ;1;0;307.89;307.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;30/05/2020 03:50:00;05/06/2020 01:08:51
DESPACHADO                                        ;349834;Via Varejo                                        ;Casas Bahia                                       ;1;0;307.89;307.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;30/05/2020 04:43:00;05/06/2020 01:09:27
DESPACHADO                                        ;351030;Web Continental                                   ;Web Continental                                   ;1;0;488.79;488.79;Headset Dazz Diamond Gamer 7.1 USB NC - Preto;JadLog;30/05/2020 08:45:51;18/06/2020 09:05:02
CANCELADO                                         ;349045;Via Varejo                                        ;Ponto Frio                                        ;1;0;226.79;226.79;Cortador de Cabelos Philco Skull PCR05S 14W - 220V;JadLog;30/05/2020 09:43:00;06/06/2020 09:43:53
DESPACHADO                                        ;349948;Via Varejo                                        ;Casas Bahia                                       ;1;0;134.89;134.89;Máquina De Corte Cadence CAB174 - 220V;Correios;30/05/2020 10:11:00;05/06/2020 01:13:26
DESPACHADO                                        ;349834;Via Varejo                                        ;Ponto Frio                                        ;1;0;307.89;307.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;31/05/2020 02:53:00;05/06/2020 01:24:01
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;32.56;298.89;298.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;31/05/2020 10:20:21;31/05/2020 10:30:42
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;41.6;298.89;298.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;31/05/2020 11:27:12;31/05/2020 11:35:46
DESPACHADO                                        ;;Via Varejo                                        ;Casas Bahia                                       ;;0;615.78;;;JadLog;01/06/2020 04:51:00;05/06/2020 01:27:49
DESPACHADO                                        ;352337;Web Continental                                   ;Web Continental                                   ;1;0;861.45;861.45;Depurador Slim Philco PDR90I 3 Velocidades 90cm Inox - 110V;JadLog;01/06/2020 04:35:43;18/06/2020 09:09:03
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;35.68;298.89;298.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;01/06/2020 07:23:56;01/06/2020 07:44:56
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;42.33;299.79;299.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;02/06/2020 12:04:42;03/06/2020 03:37:29
DESPACHADO                                        ;347069;B2W Nova API                                      ;Lojas Americanas                                  ;1;34.06;86.89;86.89;Máquina de Corte Gama Italy GNT512 Tampa protetora - Bivolt;JadLog;01/06/2020 08:43:52;02/06/2020 09:49:26
DESPACHADO                                        ;351666;B2W Nova API                                      ;Shoptime                                          ;1;33.05;361.89;361.89;Liquidificador Arno Power Max LN54 15 Velocidades 1000W Vermelho - 110V;JadLog;02/06/2020 02:21:26;02/06/2020 02:35:55
DESPACHADO                                        ;349834;Via Varejo                                        ;Casas Bahia                                       ;1;0;307.89;307.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;02/06/2020 03:20:00;05/06/2020 01:32:17
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;33.7;294.89;294.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;02/06/2020 03:51:32;02/06/2020 04:29:17
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;32.54;294.89;294.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;02/06/2020 03:55:49;02/06/2020 04:29:24
DESPACHADO                                        ;351666;B2W Nova API                                      ;Lojas Americanas                                  ;1;36.07;361.89;361.89;Liquidificador Arno Power Max LN54 15 Velocidades 1000W Vermelho - 110V;JadLog;02/06/2020 04:39:37;04/06/2020 02:42:04
DESPACHADO                                        ;352271;Carrefour                                         ;Carrefour                                         ;1;0;579.79;579.79;Depurador Slim Philco PDR60I 3 Velocidades 60cm Inox - 110V;JadLog;02/06/2020 04:38:27;18/06/2020 12:48:21
DESPACHADO                                        ;347358;Magazine Luiza                                    ;Magazine Luiza                                    ;1;38.26;140.89;140.89;Máquina De Corte Gama Italy GM586 Plus - 220V;JadLog;02/06/2020 06:50:57;02/06/2020 07:08:16
DESPACHADO                                        ;349619;Carrefour                                         ;Carrefour                                         ;1;0;566.89;566.89;Panela Elétrica de Pressão Britânia Digital 5L 900W - 110V;JadLog;02/06/2020 08:53:42;18/06/2020 12:37:03
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;299.79;299.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;02/06/2020 09:23:52;18/06/2020 12:30:42
DESPACHADO                                        ;350436;Magazine Luiza                                    ;Magazine Luiza                                    ;1;9.99;158.89;158.89;Cartão de Memoria Kingston 64GB Micro SD C10;Correios;02/06/2020 09:44:56;02/06/2020 09:51:58
DESPACHADO                                        ;349948;Via Varejo                                        ;Casas Bahia                                       ;1;0;122.89;122.89;Máquina De Corte Cadence CAB174 - 220V;Correios;02/06/2020 10:20:00;05/06/2020 01:34:02
DESPACHADO                                        ;351045;Via Varejo                                        ;Casas Bahia                                       ;1;0;199.89;199.89;Secador de Cabelo Mondial Black Rose SC-37 3 Temp 2 Vel Preto/Rosa - 110V;JadLog;02/06/2020 11:50:00;05/06/2020 01:34:58
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;59.49;294.89;294.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;02/06/2020 11:55:20;03/06/2020 12:58:32
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;32.57;299.79;299.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;02/06/2020 11:54:00;04/06/2020 02:56:22
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;41.95;298.89;298.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;03/06/2020 10:57:47;03/06/2020 01:06:21
DESPACHADO                                        ;349600;B2W Nova API                                      ;Shoptime                                          ;1;31.26;128.89;128.89;Sanduicheira Mondial S-12 750W Preto - 220V;JadLog;03/06/2020 11:56:42;04/06/2020 02:52:36
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;38.6;298.89;298.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;03/06/2020 01:52:19;03/06/2020 02:07:28
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;36.77;298.89;298.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;03/06/2020 02:12:26;03/06/2020 02:26:49
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;38.56;294.89;294.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;03/06/2020 02:39:24;03/06/2020 02:56:38
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;35.56;294.89;294.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;03/06/2020 01:37:48;03/06/2020 02:57:13
DESPACHADO                                        ;349600;B2W Nova API                                      ;Lojas Americanas                                  ;1;33.09;128.89;128.89;Sanduicheira Mondial S-12 750W Preto - 220V;JadLog;03/06/2020 03:10:27;03/06/2020 03:26:48
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;32.6;304.89;304.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;03/06/2020 04:33:08;03/06/2020 05:26:38
DESPACHADO                                        ;349834;Via Varejo                                        ;Casas Bahia                                       ;1;0;317.89;317.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;03/06/2020 05:48:00;05/06/2020 01:42:03
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;32.6;304.79;304.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;03/06/2020 07:01:41;03/06/2020 07:23:06
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;32.6;304.89;304.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;03/06/2020 08:01:22;06/06/2020 03:11:48
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;35.66;308.89;308.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;04/06/2020 12:14:48;04/06/2020 12:28:42
DESPACHADO                                        ;349834;Via Varejo                                        ;Casas Bahia                                       ;1;0;317.89;317.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;03/06/2020 11:00:00;06/06/2020 09:10:34
DESPACHADO                                        ;351666;Carrefour                                         ;Carrefour                                         ;1;35.98;349.89;349.89;Liquidificador Arno Power Max LN54 15 Velocidades 1000W Vermelho - 110V;JadLog;04/06/2020 10:27:08;05/06/2020 02:14:56
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;309.79;309.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;04/06/2020 10:44:59;18/06/2020 12:44:19
DESPACHADO                                        ;352690;Magazine Luiza                                    ;Magazine Luiza                                    ;1;38.22;250.79;250.79;Máquina de Cortar Cabelo Gama Italy Barber Style GM593 - 220V;JadLog;04/06/2020 12:27:52;04/06/2020 12:35:06
DESPACHADO                                        ;352478;B2W Nova API                                      ;Lojas Americanas                                  ;1;79.54;1312.89;1312.89;Frigobar Philco PFG85PL 67L Platinum - 110V;JadLog;04/06/2020 01:20:28;10/06/2020 06:55:02
ENTREGUE                                          ;349835;B2W Nova API                                      ;Lojas Americanas                                  ;1;19.24;298.89;298.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 220V;Transportadora;04/06/2020 02:03:44;04/06/2020 02:24:31
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;59.62;305.79;305.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;04/06/2020 02:43:41;04/06/2020 03:17:49
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;309.79;309.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;04/06/2020 03:45:41;18/06/2020 12:27:42
DESPACHADO                                        ;349834;B2W Nova API                                      ;Shoptime                                          ;1;0;309.79;309.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;04/06/2020 04:33:11;18/06/2020 12:41:51
DESPACHADO                                        ;352271;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;599.79;599.79;Depurador Slim Philco PDR60I 3 Velocidades 60cm Inox - 110V;JadLog;04/06/2020 07:15:15;18/06/2020 12:46:21
DESPACHADO                                        ;347357;B2W Nova API                                      ;Submarino                                         ;1;34.15;111.89;111.89;Máquina De Corte Gama Italy GM562 Azul - 220V;JadLog;04/06/2020 10:25:09;04/06/2020 10:46:39
DESPACHADO                                        ;346646;;;1;0;569.79;569.79;Aquecedor a Óleo Britânia AB1500 3 níveis de Potência Cinza - 220V;JadLog;05/06/2020 10:44:53;05/06/2020 10:45:28
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;38.72;308.89;308.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;05/06/2020 03:38:03;05/06/2020 03:52:00
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;309.79;309.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;05/06/2020 06:48:54;18/06/2020 12:27:09
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;42.19;318.89;318.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;06/06/2020 09:08:10;06/06/2020 09:22:02
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;36.37;318.89;318.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;06/06/2020 09:37:39;06/06/2020 09:56:43
DESPACHADO                                        ;347356;Magazine Luiza                                    ;Magazine Luiza                                    ;1;30.33;112.79;112.79;Máquina De Corte Gama Italy GM562 Azul - 110V;JadLog;06/06/2020 11:05:49;06/06/2020 11:16:32
DESPACHADO                                        ;352079;Via Varejo                                        ;Casas Bahia                                       ;1;0;156.89;156.89;Mouse sem fio Microsoft Mobile - Azul Marinho;JadLog;06/06/2020 12:10:00;13/06/2020 09:57:13
DESPACHADO                                        ;349834;Via Varejo                                        ;Casas Bahia                                       ;1;0;327.89;327.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;Correios;06/06/2020 12:58:00;13/06/2020 09:57:43
DESPACHADO                                        ;347375;Via Varejo                                        ;Ponto Frio                                        ;1;0;160.89;160.89;Modelador Gama Italy Duo Spirale - Bivolt;JadLog;06/06/2020 02:43:00;13/06/2020 09:58:22
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;329.79;329.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;06/06/2020 10:15:11;18/06/2020 12:42:18
DESPACHADO                                        ;349590;Amazon                                            ;Amazon                                            ;1;0;284.79;284.79;Cartucho HP 950 XL CN045AB Preto para 8100 8600 8620;JadLog;06/06/2020 10:17:54;18/06/2020 12:32:26
DESPACHADO                                        ;349249;Carrefour                                         ;Carrefour                                         ;1;0;553.79;553.79;Multiprocessador Philips Walita Viva RI7631/40 Vermelho - 220V;JadLog;06/06/2020 11:20:21;18/06/2020 12:48:49
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;329.79;329.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;07/06/2020 01:06:53;18/06/2020 12:41:26
DESPACHADO                                        ;352626;Web Continental                                   ;Web Continental                                   ;1;0;831.79;831.79;Aspirador de Pó Electrolux Equipt EQP20 Filtro HEPA Saco Coletor de Pó 1800W - 220V;JadLog;07/06/2020 03:23:42;13/06/2020 09:44:09
DESPACHADO                                        ;351558;Carrefour                                         ;Carrefour                                         ;1;0;457.89;457.89;Batedeira Britania Planetaria BBP515 12 Velocidades Tigela 4 Litros 500W Vermelha - 110V;JadLog;07/06/2020 06:30:45;18/06/2020 12:45:48
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;32.77;325.79;325.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;07/06/2020 08:54:14;07/06/2020 09:07:15
DESPACHADO                                        ;351141;B2W Nova API                                      ;Lojas Americanas                                  ;1;58.51;2779.89;2779.89;Smartphone Samsung Galaxy A750G A7 Dual Chip 24MP 128 GB 4G - Cobre;JadLog;08/06/2020 07:44:50;08/06/2020 08:06:56
CANCELADO                                         ;352689;Web Continental                                   ;Web Continental                                   ;1;127.16;5790.79;5790.79;Smartphone Samsung S10 Android 9.0 Dual Chip Tela 6.1" Câm Traseira 12+16+12MP 128GB - Branco;Transportadora;08/06/2020 07:43:56;
CANCELADO                                         ;352384;Via Varejo                                        ;Extra                                             ;1;37.18;1042.79;1042.79;Forno Elétrico Philco PFE45I Duo 45L com Timer - 220V;Transportadora;08/06/2020 09:49:00;
CANCELADO                                         ;352744;Via Varejo                                        ;Extra                                             ;1;43.48;935.89;935.89;Caixa de Som Amplificada Philco PCX3500 USB Bluetooth 150W RMS Rádio FM - Bivolt;JadLog;08/06/2020 11:00:00;
DESPACHADO                                        ;349834;Magazine Luiza                                    ;Magazine Luiza                                    ;1;32.77;325.79;325.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;08/06/2020 10:56:26;08/06/2020 11:33:38
DESPACHADO                                        ;352713;Via Varejo                                        ;Casas Bahia                                       ;1;0;2214.79;2214.79;Caixa Acústica Philco PCX20000 Bluetooth Rádio FM USB 1800W RMS - Bivolt;JadLog;08/06/2020 01:00:00;13/06/2020 10:02:05
DESPACHADO                                        ;349834;Via Varejo                                        ;Casas Bahia                                       ;1;0;339.79;339.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;08/06/2020 01:06:00;13/06/2020 10:02:53
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;339.79;339.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;08/06/2020 01:57:22;18/06/2020 12:40:15
CANCELADO                                         ;352152;Via Varejo                                        ;Casas Bahia                                       ;1;93.35;758.79;758.79;Forno Elétrico Philco 46L Função Dourar 1500W Prata - 110V;JadLog;08/06/2020 03:47:00;
DESPACHADO                                        ;350915;Magazine Luiza                                    ;Magazine Luiza                                    ;1;44.86;226.89;226.89;Modelador de Cabelo Taiff Curves 210ºC Preto - Bivolt;JadLog;08/06/2020 03:32:52;08/06/2020 04:16:51
DESPACHADO                                        ;352446;Carrefour                                         ;Carrefour                                         ;1;0;282.79;282.79;Kit Gama Italy Secador Sensation 2000W 220V + Prancha Sensation Ceramic Ion 210ºc - Bivolt;JadLog;08/06/2020 05:30:14;22/06/2020 09:12:14
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;339.79;339.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;08/06/2020 06:12:33;18/06/2020 12:23:34
DESPACHADO                                        ;347198;B2W Nova API                                      ;Shoptime                                          ;1;30.81;175.89;175.89;Espremedor de Frutas Britânia Bellagio Maxx 20W 1.25L Preto - 110V;JadLog;08/06/2020 07:37:07;08/06/2020 07:56:51
DESPACHADO                                        ;352442;Magazine Luiza                                    ;Magazine Luiza                                    ;1;49.26;172.79;172.79;Máquina de Corte Gama Italy Multi-Syler GCX623 Sport USB Preto/Amarelo - Bivolt;Rapidao Cometa;08/06/2020 08:26:18;08/06/2020 08:38:44
DESPACHADO                                        ;349834;B2W Nova API                                      ;Lojas Americanas                                  ;1;0;339.79;339.79;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 110V;JadLog;08/06/2020 08:32:47;18/06/2020 12:41:01
CANCELADO                                         ;352960;Web Continental                                   ;Web Continental                                   ;1;44.55;960.79;960.79;Caixa de Som Portátil JBL FLIP 5 Bluetooth IPX7 À Prova d’Água Verde – Bivolt;Transportadora;08/06/2020 09:35:47;
CANCELADO                                         ;352960;Web Continental                                   ;Web Continental                                   ;1;44.55;960.79;960.79;Caixa de Som Portátil JBL FLIP 5 Bluetooth IPX7 À Prova d’Água Verde – Bivolt;Transportadora;08/06/2020 09:35:38;
DESPACHADO                                        ;349562;Via Varejo                                        ;Extra                                             ;1;0;71.89;71.89;Cartucho Epson T194420-BR Amarelo para XP204/214;Correios;09/06/2020 09:13:00;13/06/2020 10:05:53
CANCELADO                                         ;352384;Madeira Madeira                                   ;Madeira Madeira                                   ;1;43.17;1000.89;1000.89;Forno Elétrico Philco PFE45I Duo 45L com Timer - 220V;JadLog;09/06/2020 09:05:33;
DESPACHADO                                        ;352690;Magazine Luiza                                    ;Magazine Luiza                                    ;1;54.56;230.89;230.89;Máquina de Cortar Cabelo Gama Italy Barber Style GM593 - 220V;Rapidao Cometa;09/06/2020 09:34:23;09/06/2020 11:27:07
DESPACHADO                                        ;349545;Via Varejo                                        ;Casas Bahia                                       ;1;0;718.79;718.79;Micro-ondas Panasonic NN-ST65HWRUN 32L Branco - 110V;JadLog;09/06/2020 02:13:00;13/06/2020 10:10:35
CANCELADO                                         ;352478;B2W Nova API                                      ;Lojas Americanas                                  ;1;79.54;1312.89;1312.89;Frigobar Philco PFG85PL 67L Platinum - 110V;JadLog;09/06/2020 04:47:10;09/06/2020 05:15:32
DESPACHADO                                        ;352445;B2W Nova API                                      ;Lojas Americanas                                  ;1;32.47;286.89;286.89;Kit Gama Italy Secador Sensation 2000W 110V + Prancha Sensation Ceramic Ion 210ºc - Bivolt;JadLog;09/06/2020 07:59:48;09/06/2020 08:17:02
CANCELADO                                         ;349835;Via Varejo                                        ;Casas Bahia                                       ;1;32.87;338.89;338.89;Escova Secadora Britânia Soft BEC02 3 Temp 2 Vel - 220V;JadLog;09/06/2020 09:14:00;
DESPACHADO                                        ;352691;;;1;0;208.89;208.89;Máquina de Cortar Cabelo Gama Italy Barber Style GM593 - 110V;Correios;10/06/2020 11:26:51;10/06/2020 11:27:13
CANCELADO                                         ;350810;Via Varejo                                        ;Casas Bahia                                       ;1;47.4;2336.89;2336.89;Smartphone Samsung Galaxy J8 4GB 16MP Dual Chip Android 8.0 64GB 60" - Violeta;JadLog;10/06/2020 02:23:00;
DESPACHADO                                        ;352435;Magazine Luiza                                    ;Magazine Luiza                                    ;1;77.28;797.89;797.89;Microondas Midea MTAEG42 30L Com Grill 900W Porta Espelhada Prata - 110V;JadLog;10/06/2020 03:48:38;10/06/2020 03:59:10
